ID,Headline,Timestamp
1,Iran's foreign minister in Islamabad for talks as US envoys set to travel to Pakistan,"25/04/2026, 14:19:24"
2,Seven dead in major Russian attack on Ukraine,"25/04/2026, 14:19:24"
3,Analysis: Europe's Nato allies push back at reported US threat to Spain,"25/04/2026, 14:19:24"
4,Palestinians in West Bank and some in Gaza vote in local elections,"25/04/2026, 14:19:24"
5,Meet the men calling out 'masculinity' trends,"25/04/2026, 14:19:24"
6,The Kashmir town trying to win back tourists after a deadly attack,"25/04/2026, 14:19:24"
7,The abandoned vehicles in Chernobyl's 'dead zone',"25/04/2026, 14:19:24"
8,'A remarkable time capsule': Oxford University's 750-year-old library,"25/04/2026, 14:19:24"
9,James Bulger's vandalised stolen grave items found,"25/04/2026, 14:19:24"
10,Thousands at risk after multimillion-dollar Everest flood warning system left to rust,"25/04/2026, 14:19:24"
11,China car giant BYD says it can thrive without US,"25/04/2026, 14:19:24"
12,Why is this game only legal across Australia one day a year?,"25/04/2026, 14:19:24"
13,Who is making decisions in Iran?,"25/04/2026, 14:19:24"
14,Extradited teen in court over woman stabbed dead,"25/04/2026, 14:19:24"
15,31 sloths die in Florida before opening of attraction,"25/04/2026, 14:19:24"
16,King's 'high stakes' visit with Trump will be toughest test yet of his reign,"25/04/2026, 14:19:24"
17,Epstein survivor: Meeting the King would be a 'grand step',"25/04/2026, 14:19:24"
18,'My living nightmare': Rob Reiner's son bares soul on how he found out parents were dead,"25/04/2026, 14:19:24"
19,A nation built on pan-African principles faces questions about racism,"25/04/2026, 14:19:24"
20,South Africa's top envoy to Ghana summoned over attacks on foreigners,"25/04/2026, 14:19:24"
21,Pirates hijack oil tanker off the coast of Somalia,"25/04/2026, 14:19:24"
22,Israeli police investigate after officers 'cut Palestinian flag' from skullcap,"25/04/2026, 14:19:24"
23,"What the Warner Bros deal could mean for streaming, cinemas and news","25/04/2026, 14:19:24"
24,Asos demands £7m from US as firms rush to claim tariff refunds,"25/04/2026, 14:19:24"
25,"AI is already leading to fewer jobs in UK for young people, says Rishi Sunak","25/04/2026, 14:19:24"
26,"High Street mini-marts selling cocaine, cannabis and prescription drugs, BBC secret filming reveals","25/04/2026, 14:19:24"
27,Premier League: Villa go to Fulham before huge games for Spurs & West Ham,"25/04/2026, 14:19:24"
28,How Guardiola found his best Man City XI,"25/04/2026, 14:19:24"
29,James leads Lakers to brink of play-off series win,"25/04/2026, 14:19:24"
30,Championship: Ipswich and Middlesbrough in action in race for second,"25/04/2026, 14:19:24"
31,Meta to cut one in 10 jobs after spending billions on AI,"25/04/2026, 14:19:24"
32,Assassin's Creed actor wants role in TV adaptation,"25/04/2026, 14:19:24"
33,White House memo claims mass AI theft by Chinese firms,"25/04/2026, 14:19:24"
34,How technology is transforming India's silk industry,"25/04/2026, 14:19:24"
35,Apollo v Artemis: How Earth changed in 58 years,"25/04/2026, 14:19:24"
36,Aspirin can reduce the risk of cancer - and we're starting to understand why,"25/04/2026, 14:19:24"
37,'It felt like science fiction': The cancer therapy changing lives,"25/04/2026, 14:19:24"
38,The 'bizarre' story of the world's first LSD trip,"25/04/2026, 14:19:24"
39,Half Man: Baby Reindeer creator's violent new series is brutal and 'unbearably intense' ★★★★☆,"25/04/2026, 14:19:24"
40,The kitsch '60s act that dominated the US charts,"25/04/2026, 14:19:24"
41,Michael review: 'A bland and barely competent daytime TV movie' ★☆☆☆☆,"25/04/2026, 14:19:24"
42,The bidding war for Jackie O's possessions,"25/04/2026, 14:19:24"
43,"10 intimate images of a lost, decadent 1930s Paris","25/04/2026, 14:19:24"
44,The truth about Tudor England's 'most hated woman',"25/04/2026, 14:19:24"
45,Japan's ancient philosophy that helps us accept our flaws,"25/04/2026, 14:19:24"
46,A cheat's guide to... Picasso's Guernica,"25/04/2026, 14:19:24"
47,The world's best airport doesn't feel like an airport at all,"25/04/2026, 14:19:24"
48,The Route 66 story you haven't been told,"25/04/2026, 14:19:24"
49,How Tarzan Brown conquered the Boston Marathon,"25/04/2026, 14:19:24"
50,The travellers mapping their holiday by the stars,"25/04/2026, 14:19:24"
51,Which country can claim steak?,"25/04/2026, 14:19:24"
52,Inside the Turkish city built on 'green gold',"25/04/2026, 14:19:24"
53,The rare 'dinosaur egg' returning from extinction,"25/04/2026, 14:19:24"
54,Congee to consommé: Why every culture has a healing broth,"25/04/2026, 14:19:24"
55,Huge chunk of glacier blocks Everest route in peak climbing season,"25/04/2026, 14:19:24"
56,Meet the 19-metre octopus that prowled the ancient seas,"25/04/2026, 14:19:24"
57,Humpback whales were nearly wiped out. Now their numbers are skyrocketing.,"25/04/2026, 14:19:24"
58,The UK is losing wildflowers. Can cities save them?,"25/04/2026, 14:19:24"
59,Inside the Nordic base key to Europe's orbital space race,"25/04/2026, 14:19:24"
60,Charli XCX's parents went to raves with her as a teenager,"25/04/2026, 14:19:24"
61,Baby Pachyrhinosaurus struggles to survive in the wilderness,"25/04/2026, 14:19:24"
62,The family-run Slovenian business that conquered ski jumping,"25/04/2026, 14:19:24"
